Indication (ICD-10)	Indication name	Drug (RxNorm)	Drug name	Outcome (ICD-10)	Outcome name	Average ACME	P-value	Proportion mediated	Cohort
D47.2	Monoclonal gammopathy	20610	cetirizine	G62.9	Neuropathy NOS	0.003896	2e-16	-0.098985	UKB
K76.9	Liver disease, unspecified	4603	furosemide	G93.9	Disorder of brain, unspecified	0.00389	2e-16	-0.53	UKB
I10	high blood pressure	265647	garlic preparation	I50.9	Congestive heart disease	0.00389	2e-16	-0.10614	UKB
I10	high blood pressure	1309210	oil of garlic	I50.9	Congestive heart disease	0.00389	2e-16	-0.10614	UKB
I50.9	Congestive heart disease	4917	glyceryl trinitrate	J81	Pulmonary edema	0.003871	2e-16	-0.173758	UKB
I51.7	Cardiomegaly	52175	losartan	J81	Pulmonary edema	0.003871	2e-16	-0.179092	UKB
N18.9	Chronic uremia NOS	4603	furosemide	R80	Proteinuria	0.00387	2e-16	-0.438951	UKB
I21	cardiac infarction	11170	verapamil	J96.0	Acute respiratory failure	0.003868	2e-16	-0.122997	UKB
I47.1	Supraventricular tachycardia	214623	Hydrochlorothiazide / Propranolol	I42	Cardiomyopathy	0.003862	2e-16	-0.096085	UKB
I47.1	Supraventricular tachycardia	8787	propranolol	I42	Cardiomyopathy	0.003862	2e-16	-0.096085	UKB
I21	cardiac infarction	7417	nifedipine	I51.9	Heart disease, unspecified	0.00386	2e-16	-0.12077	UKB
N28.9	Nephropathy NOS	214354	candesartan	E87.7	Fluid overload	0.00386	2e-16	-0.101108	UKB
I26	Pulmonary embolism	11289	warfarin	I46	Cardiac arrest	0.003857	2e-16	-0.091681	UKB
I21	cardiac infarction	7417	nifedipine	J96.0	Acute respiratory failure	0.003855	2e-16	-0.134789	UKB
T78.40	Hypersensitivity NOS	106964	Hydrocortisone / Lidocaine	I42	Cardiomyopathy	0.00385	2e-16	-0.0691	MIMIC-IV
T78.40	Hypersensitivity NOS	5492	hydrocortisone	I42	Cardiomyopathy	0.00385	2e-16	-0.0691	MIMIC-IV
I21	cardiac infarction	1009219	aliskiren / Amlodipine	I44.3	Atrioventricular block NOS	0.003848	2e-16	-0.656309	UKB
I21	cardiac infarction	17767	amlodipine	I44.3	Atrioventricular block NOS	0.003848	2e-16	-0.656309	UKB
J45	Asthma	693010	Neomycin / Polymyxin B / prednisolone	G47	Sleep disorders	0.003847	2e-16	-0.030375	UKB
J45	Asthma	690161	prednisolone / Sulfacetamide	G47	Sleep disorders	0.003847	2e-16	-0.030375	UKB
J45	Asthma	8638	prednisolone	G47	Sleep disorders	0.003847	2e-16	-0.030375	UKB
M06.9	Rheumatoid arthritis, unspecified	3355	diclofenac	E04.9	Goiter NOS	0.003843	2e-16	-0.263575	UKB
N28.9	Nephropathy NOS	83818	irbesartan	D64.9	Anemia, unspecified	0.003842	2e-16	-0.016586	UKB
I70	atheroma	42463	pravastatin	I51.9	Heart disease, unspecified	0.003831	2e-16	-0.106615	UKB
J44.9	Chronic obstructive lung disease NOS	3498	diphenhydramine	I27.20	Pulmonary hypertension NOS	0.00383	2e-16	-1.25403	MIMIC-IV
J44.9	Chronic obstructive lung disease NOS	1158452	diphenhydramine topical product	I27.20	Pulmonary hypertension NOS	0.00383	2e-16	-1.25403	MIMIC-IV
K21.9	Esophageal reflux NOS	9143	ranitidine	C15.5	Lower third of esophagus	0.003827	2e-16	-0.174155	UKB
I50.9	Congestive heart disease	214354	candesartan	J94.8	Hydrothorax	0.00382	2e-16	-0.299	UKB
I21	cardiac infarction	52175	losartan	J81	Pulmonary edema	0.003811	2e-16	-0.191588	UKB
K51	Ulcerative colitis	216525	Dexamethasone / Neomycin / Polymyxin B	J47	Bronchiectasis	0.003806	2e-16	-0.035158	MIMIC-IV
K51	Ulcerative colitis	3264	dexamethasone	J47	Bronchiectasis	0.003806	2e-16	-0.035158	MIMIC-IV
A15.0	Tuberculosis of lung	762675	methylprednisolone 4 mg oral tablet	J96.0	Acute respiratory failure	0.003805	2e-16	-0.026306	MIMIC-IV
A15.0	Tuberculosis of lung	6902	methylprednisolone	J96.0	Acute respiratory failure	0.003805	2e-16	-0.026306	MIMIC-IV
I21	cardiac infarction	341248	ezetimibe	I67.9	Cerebrovascular disease, unspecified	0.003804	2e-16	-0.065436	UKB
A15	Respiratory tuberculosis	762675	methylprednisolone 4 mg oral tablet	D64.9	Anemia, unspecified	0.0038	2e-16	-0.01789	MIMIC-IV
A15	Respiratory tuberculosis	6902	methylprednisolone	D64.9	Anemia, unspecified	0.0038	2e-16	-0.01789	MIMIC-IV
N28.9	Nephropathy NOS	52175	losartan	E87.5	Hyperkalemia	0.003799	2e-16	-0.087932	UKB
N04	lipoid nephrosis	1369	bendroflumethiazide	R80	Proteinuria	0.003794	2e-16	-0.96498	UKB
N04	lipoid nephrosis	214288	Bendroflumethiazide / Nadolol	R80	Proteinuria	0.003794	2e-16	-0.96498	UKB
I10	high blood pressure	83367	atorvastatin	N19	Uremia NOS	0.00379	2e-16	-0.154	UKB
I26	Pulmonary embolism	5224	heparin	I27.20	Pulmonary hypertension NOS	0.00379	2e-16	-0.10102	MIMIC-IV
I10	high blood pressure	1369	bendroflumethiazide	I21	cardiac infarction	0.00378	2e-16	-0.0364	UKB
I10	high blood pressure	214288	Bendroflumethiazide / Nadolol	I21	cardiac infarction	0.00378	2e-16	-0.0364	UKB
N19	Uremia NOS	22701	(+)-panthenol	J81	Pulmonary edema	0.00378	2e-16	-0.01997	MIMIC-IV
N19	Uremia NOS	36118	calcitonin (salmon synthetic)	J81	Pulmonary edema	0.00378	2e-16	-0.01997	MIMIC-IV
N19	Uremia NOS	2418	cholecalciferol	J81	Pulmonary edema	0.00378	2e-16	-0.01997	MIMIC-IV
I25.10	Atherosclerotic heart disease NOS	36567	simvastatin	I51.9	Heart disease, unspecified	0.00378	2e-16	-0.364432	MIMIC-IV
L20	Atopic dermatitis	236142	zinc aspartate	J45	Asthma	0.003777	2e-16	-0.011262	UKB
L20	Atopic dermatitis	11416	zinc	J45	Asthma	0.003777	2e-16	-0.011262	UKB
L20	Atopic dermatitis	236911	zinc citrate	J45	Asthma	0.003777	2e-16	-0.011262	UKB
L20	Atopic dermatitis	39937	zinc chloride	J45	Asthma	0.003777	2e-16	-0.011262	UKB
L20	Atopic dermatitis	58295	zinc acetate	J45	Asthma	0.003777	2e-16	-0.011262	UKB
L20	Atopic dermatitis	58301	zinc picolinate	J45	Asthma	0.003777	2e-16	-0.011262	UKB
L20	Atopic dermatitis	39954	zinc sulfate	J45	Asthma	0.003777	2e-16	-0.011262	UKB
L20	Atopic dermatitis	58300	zinc gluconate	J45	Asthma	0.003777	2e-16	-0.011262	UKB
L20	Atopic dermatitis	11423	zinc oxide	J45	Asthma	0.003777	2e-16	-0.011262	UKB
L20	Atopic dermatitis	39952	zinc pyrithione	J45	Asthma	0.003777	2e-16	-0.011262	UKB
N40	nodular prostate	49276	doxazosin	N18.9	Chronic uremia NOS	0.00377	2e-16	-0.03409	UKB
I21	cardiac infarction	214354	candesartan	I72	Other aneurysm	0.00377	2e-16	-0.14856	UKB
E78.5	Hyperlipidemia, unspecified	301542	rosuvastatin	G62.9	Neuropathy NOS	0.003758	2e-16	-0.061897	UKB
I10	high blood pressure	3992	epinephrine	N08	Nephritis	0.00375	2e-16	-0.01783	MIMIC-IV
I50.9	Congestive heart disease	6057	isosorbide	J94.8	Hydrothorax	0.00374	2e-16	-0.283	UKB
I21	cardiac infarction	214354	candesartan	J81	Pulmonary edema	0.003733	2e-16	-0.20801	UKB
M32.9	Systemic lupus erythematosus NOS	216525	Dexamethasone / Neomycin / Polymyxin B	G62.9	Neuropathy NOS	0.003725	2e-16	-0.109014	MIMIC-IV
M32.9	Systemic lupus erythematosus NOS	3264	dexamethasone	G62.9	Neuropathy NOS	0.003725	2e-16	-0.109014	MIMIC-IV
E05.9	Hyperthyroidism NOS	10582	levothyroxine	I31.3	Chylopericardium	0.003721	0.002	-0.158598	UKB
M06.9	Rheumatoid arthritis, unspecified	3355	diclofenac	M54.1	Radiculopathy	0.00371	2e-16	-0.13205	UKB
K76.9	Liver disease, unspecified	4603	furosemide	D61.81	Pancytopenia	0.00371	2e-16	-0.07427	MIMIC-IV
K21.9	Esophageal reflux NOS	6057	isosorbide	J45	Asthma	0.003708	2e-16	-0.010196	UKB
I50.9	Congestive heart disease	6057	isosorbide	J81	Pulmonary edema	0.003706	2e-16	-0.168529	UKB
I21	cardiac infarction	7646	omeprazole	I44.3	Atrioventricular block NOS	0.003705	2e-16	-0.776072	UKB
F31	Bipolar disorder	25480	gabapentin	F32	Depressive episode	0.0037	2e-16	-0.02485	UKB
J44.9	Chronic obstructive lung disease NOS	689579	Acetaminophen / Chlorpheniramine / Codeine / Phenylephrine	L50	Urticaria	0.003699	2e-16	-0.209022	UKB
J44.9	Chronic obstructive lung disease NOS	2670	codeine	L50	Urticaria	0.003699	2e-16	-0.209022	UKB
J44.9	Chronic obstructive lung disease NOS	690647	Brompheniramine / Codeine / Phenylephrine	L50	Urticaria	0.003699	2e-16	-0.209022	UKB
J44.9	Chronic obstructive lung disease NOS	214442	Codeine / Guaifenesin	L50	Urticaria	0.003699	2e-16	-0.209022	UKB
I10	high blood pressure	83367	atorvastatin	I71	Aortic aneurysm and dissection	0.003692	2e-16	-0.14131	UKB
I21	cardiac infarction	35296	ramipril	I47.2	Ventricular tachycardia	0.00369	2e-16	-0.26458	UKB
J32	sinus empyema	723	amoxicillin	G62.9	Neuropathy NOS	0.00369	2e-16	-0.090934	MIMIC-IV
I21	cardiac infarction	42463	pravastatin	I72	Other aneurysm	0.003686	2e-16	-0.130249	UKB
E05.9	Hyperthyroidism NOS	10582	levothyroxine	J45	Asthma	0.003685	0.002	-0.011548	UKB
E78.5	Hyperlipidemia, unspecified	803516	Niacin / Simvastatin	E85	Amyloidosis	0.00368	2e-16	-0.841	UKB
E78.5	Hyperlipidemia, unspecified	36567	simvastatin	E85	Amyloidosis	0.00368	2e-16	-0.841	UKB
N28.9	Nephropathy NOS	3827	enalapril	G62.9	Neuropathy NOS	0.003675	2e-16	-0.083199	UKB
A15	Respiratory tuberculosis	762675	methylprednisolone 4 mg oral tablet	J96.0	Acute respiratory failure	0.00366	2e-16	-0.02573	MIMIC-IV
A15	Respiratory tuberculosis	6902	methylprednisolone	J96.0	Acute respiratory failure	0.00366	2e-16	-0.02573	MIMIC-IV
N19	Uremia NOS	69749	valsartan	F41.9	Anxiety NOS	0.003654	2e-16	-0.018242	UKB
N19	Uremia NOS	900937	aliskiren / valsartan	F41.9	Anxiety NOS	0.003654	2e-16	-0.018242	UKB
N19	Uremia NOS	1656339	sacubitril / valsartan	F41.9	Anxiety NOS	0.003654	2e-16	-0.018242	UKB
I50.9	Congestive heart disease	52175	losartan	J81	Pulmonary edema	0.003653	2e-16	-0.16626	UKB
E11	diabetes NOS	52175	losartan	E88	Other metabolic disorders	0.003652	2e-16	-0.128008	UKB
I21	cardiac infarction	214354	candesartan	I47.2	Ventricular tachycardia	0.00365	2e-16	-0.15418	UKB
N08	Nephritis	214624	Hydrochlorothiazide / Reserpine	E21.3	Hyperparathyroidism, unspecified	0.00365	2e-16	-0.10994	MIMIC-IV
N08	Nephritis	214622	Hydrochlorothiazide / moexipril	E21.3	Hyperparathyroidism, unspecified	0.00365	2e-16	-0.10994	MIMIC-IV
N08	Nephritis	5487	hydrochlorothiazide	E21.3	Hyperparathyroidism, unspecified	0.00365	2e-16	-0.10994	MIMIC-IV
N08	Nephritis	214615	Hydralazine / Hydrochlorothiazide	E21.3	Hyperparathyroidism, unspecified	0.00365	2e-16	-0.10994	MIMIC-IV
I51.7	Cardiomegaly	3827	enalapril	J81	Pulmonary edema	0.003639	2e-16	-0.166878	UKB
C61	Malignant neoplasm of prostate	25025	finasteride	F41.9	Anxiety NOS	0.003638	2e-16	-0.019042	UKB
I21	cardiac infarction	11289	warfarin	I50.9	Congestive heart disease	0.00363	0.002	-0.05668	UKB
I21	cardiac infarction	1009219	aliskiren / Amlodipine	I25.5	Ischemic cardiomyopathy	0.00363	2e-16	-2.01	UKB
I21	cardiac infarction	17767	amlodipine	I25.5	Ischemic cardiomyopathy	0.00363	2e-16	-2.01	UKB
I22	cardiac infarction	35296	ramipril	I42.0	Dilated cardiomyopathy	0.003625	2e-16	-0.337954	UKB
A15	Respiratory tuberculosis	762675	methylprednisolone 4 mg oral tablet	N16	Pyelonephritis	0.003623	2e-16	-0.014473	MIMIC-IV
A15	Respiratory tuberculosis	6902	methylprednisolone	N16	Pyelonephritis	0.003623	2e-16	-0.014473	MIMIC-IV
I21	cardiac infarction	214354	candesartan	I46	Cardiac arrest	0.00362	2e-16	-0.12208	UKB
B34.9	Viremia NOS	2551	ciprofloxacin	E66.9	Obesity NOS	0.003615	2e-16	-0.02918	MIMIC-IV
E11	diabetes NOS	83818	irbesartan	F01	Vascular dementia	0.00361	2e-16	-0.119	UKB
E11	diabetes NOS	83818	irbesartan	N17.9	Acute renal failure, unspecified	0.003605	2e-16	-0.021214	UKB
I50.9	Congestive heart disease	17767	amlodipine	J81.1	Pulmonary edema NOS	0.0036	2e-16	-0.155	MIMIC-IV
I22	cardiac infarction	83818	irbesartan	I46	Cardiac arrest	0.003593	2e-16	-0.111039	UKB
I22	cardiac infarction	52175	losartan	I46	Cardiac arrest	0.003584	2e-16	-0.110684	UKB
N19	Uremia NOS	83818	irbesartan	J81	Pulmonary edema	0.00358	2e-16	-0.230609	UKB
J42	Chronic tracheitis	2551	ciprofloxacin	I27.20	Pulmonary hypertension NOS	0.00358	2e-16	-0.06438	MIMIC-IV
I21	cardiac infarction	1114195	rivaroxaban	J81	Pulmonary edema	0.00358	2e-16	-0.03027	MIMIC-IV
N08	Nephritis	35296	ramipril	N04	lipoid nephrosis	0.003576	2e-16	-1.1798	UKB
I22	cardiac infarction	11289	warfarin	I42.0	Dilated cardiomyopathy	0.003575	2e-16	-0.238763	UKB
I21	cardiac infarction	42463	pravastatin	I50.9	Congestive heart disease	0.003565	2e-16	-0.049364	UKB
I63	Cerebral infarction	32968	clopidogrel	H54	Blindness and low vision	0.003562	2e-16	-0.083214	UKB
D64.9	Anemia, unspecified	4511	folic acid	I67.9	Cerebrovascular disease, unspecified	0.00356	2e-16	-0.049	UKB
I21	cardiac infarction	17767	amlodipine	I27.20	Pulmonary hypertension NOS	0.00356	2e-16	-0.038676	MIMIC-IV
C85.9	Lymphoma NOS	8640	prednisone	G62.9	Neuropathy NOS	0.003558	2e-16	-0.1612	MIMIC-IV
E78.5	Hyperlipidemia, unspecified	301542	rosuvastatin	K76.0	Nonalcoholic fatty liver disease (NAFLD)	0.003557	2e-16	-0.037462	UKB
N28.9	Nephropathy NOS	4316	felodipine	N19	Uremia NOS	0.003556	2e-16	-0.123708	UKB
I21	cardiac infarction	341248	ezetimibe	I51.9	Heart disease, unspecified	0.003554	2e-16	-0.120937	UKB
N19	Uremia NOS	4603	furosemide	G93.9	Disorder of brain, unspecified	0.00355	2e-16	-0.451	UKB
J44.9	Chronic obstructive lung disease NOS	161	acetaminophen	J98.4	Pulmolithiasis	0.00355	2e-16	-0.0479	MIMIC-IV
J45	Asthma	693010	Neomycin / Polymyxin B / prednisolone	J98.4	Pulmolithiasis	0.00354	2e-16	-0.0625	UKB
J45	Asthma	690161	prednisolone / Sulfacetamide	J98.4	Pulmolithiasis	0.00354	2e-16	-0.0625	UKB
J45	Asthma	8638	prednisolone	J98.4	Pulmolithiasis	0.00354	2e-16	-0.0625	UKB
J98.4	Pulmolithiasis	3002	cyclophosphamide	J96.0	Acute respiratory failure	0.003539	2e-16	-0.031468	MIMIC-IV
N19	Uremia NOS	83818	irbesartan	E87.7	Fluid overload	0.003531	2e-16	-0.088222	UKB
I21	cardiac infarction	341248	ezetimibe	J96.0	Acute respiratory failure	0.00353	2e-16	-0.13377	UKB
I21	cardiac infarction	3521	dipyridamole	I51.9	Heart disease, unspecified	0.00352	2e-16	-0.10925	UKB
I50.9	Congestive heart disease	4316	felodipine	J94.8	Hydrothorax	0.00352	2e-16	-0.255	UKB
I10	high blood pressure	265647	garlic preparation	I51.7	Cardiomegaly	0.00351	2e-16	-0.06126	UKB
I10	high blood pressure	1309210	oil of garlic	I51.7	Cardiomegaly	0.00351	2e-16	-0.06126	UKB
I33.0	Endocarditis lenta (acute) (subacute)	723	amoxicillin	N08	Nephritis	0.00351	2e-16	-0.011013	MIMIC-IV
D86	Sarcoidosis	216525	Dexamethasone / Neomycin / Polymyxin B	J98.4	Pulmolithiasis	0.00351	0.004	-0.04053	MIMIC-IV
D86	Sarcoidosis	3264	dexamethasone	J98.4	Pulmolithiasis	0.00351	0.004	-0.04053	MIMIC-IV
K21.9	Esophageal reflux NOS	6057	isosorbide	C15.5	Lower third of esophagus	0.003509	2e-16	-0.146753	UKB
C61	Malignant neoplasm of prostate	25025	finasteride	I26	Pulmonary embolism	0.003503	2e-16	-0.031225	UKB
I25.1	Coronary (artery) disease	301542	rosuvastatin	I42	Cardiomyopathy	0.0035	2e-16	-0.0652	UKB
I21	cardiac infarction	69749	valsartan	I51.9	Heart disease, unspecified	0.003499	0.002	-0.120555	UKB
I21	cardiac infarction	900937	aliskiren / valsartan	I51.9	Heart disease, unspecified	0.003499	0.002	-0.120555	UKB
I21	cardiac infarction	1656339	sacubitril / valsartan	I51.9	Heart disease, unspecified	0.003499	0.002	-0.120555	UKB
D86	Sarcoidosis	216525	Dexamethasone / Neomycin / Polymyxin B	G62.9	Neuropathy NOS	0.003491	2e-16	-0.100732	MIMIC-IV
D86	Sarcoidosis	3264	dexamethasone	G62.9	Neuropathy NOS	0.003491	2e-16	-0.100732	MIMIC-IV
I10	high blood pressure	83367	atorvastatin	I67.9	Cerebrovascular disease, unspecified	0.00349	2e-16	-0.16	UKB
D64.9	Anemia, unspecified	4511	folic acid	I50.9	Congestive heart disease	0.003489	2e-16	-0.035124	UKB
I47.2	Ventricular tachycardia	6387	lidocaine	I42	Cardiomyopathy	0.003486	2e-16	-0.088386	MIMIC-IV
E55	Vitamin D deficiency	802755	liver stomach concentrate	M21.16	Bow leg	0.00348	2e-16	-0.28	UKB
E55	Vitamin D deficiency	2669	cod liver oil	M21.16	Bow leg	0.00348	2e-16	-0.28	UKB
E55	Vitamin D deficiency	91472	shark liver oil	M21.16	Bow leg	0.00348	2e-16	-0.28	UKB
E55	Vitamin D deficiency	900025	atlantic cod allergenic extract	M21.16	Bow leg	0.00348	2e-16	-0.28	UKB
E55	Vitamin D deficiency	6459	liver extract	M21.16	Bow leg	0.00348	2e-16	-0.28	UKB
I47.2	Ventricular tachycardia	214623	Hydrochlorothiazide / Propranolol	I42	Cardiomyopathy	0.00348	2e-16	-0.1048	UKB
I47.2	Ventricular tachycardia	8787	propranolol	I42	Cardiomyopathy	0.00348	2e-16	-0.1048	UKB
M32	Systemic lupus erythematosus	1158231	triamcinolone topical product	G62.9	Neuropathy NOS	0.00348	2e-16	-0.03774	MIMIC-IV
M32	Systemic lupus erythematosus	10759	triamcinolone	G62.9	Neuropathy NOS	0.00348	2e-16	-0.03774	MIMIC-IV
E78.5	Hyperlipidemia, unspecified	42463	pravastatin	K85.9	Pancreatitis NOS	0.003479	2e-16	-0.104971	UKB
I50.9	Congestive heart disease	4316	felodipine	J81	Pulmonary edema	0.003477	2e-16	-0.152562	UKB
E11	diabetes NOS	83818	irbesartan	E88	Other metabolic disorders	0.00347	2e-16	-0.117	UKB
M32.9	Systemic lupus erythematosus NOS	216525	Dexamethasone / Neomycin / Polymyxin B	H40	Glaucoma	0.00346	2e-16	-0.04457	MIMIC-IV
M32.9	Systemic lupus erythematosus NOS	3264	dexamethasone	H40	Glaucoma	0.00346	2e-16	-0.04457	MIMIC-IV
I47.1	Supraventricular tachycardia	6387	lidocaine	I42	Cardiomyopathy	0.003457	2e-16	-0.073622	MIMIC-IV
N19	Uremia NOS	4603	furosemide	J18.0	Bronchopneumonia, unspecified	0.00344	0.008	-0.338365	UKB
N19	Uremia NOS	4603	furosemide	D64.9	Anemia, unspecified	0.003437	2e-16	-0.01487	UKB
I10	high blood pressure	83367	atorvastatin	I42	Cardiomyopathy	0.003434	2e-16	-0.149932	UKB
N08	Nephritis	4603	furosemide	N18	Chronic renal failure	0.00343	0.004	-0.02836	UKB
I21	cardiac infarction	11170	verapamil	N17.9	Acute renal failure, unspecified	0.00343	2e-16	-0.00816	UKB
A15	Respiratory tuberculosis	762675	methylprednisolone 4 mg oral tablet	N19	Uremia NOS	0.003429	2e-16	-0.012974	MIMIC-IV
A15	Respiratory tuberculosis	6902	methylprednisolone	N19	Uremia NOS	0.003429	2e-16	-0.012974	MIMIC-IV
I21	cardiac infarction	301542	rosuvastatin	J81	Pulmonary edema	0.003428	2e-16	-0.165552	UKB
E78.5	Hyperlipidemia, unspecified	21406	coenzyme q10	D64.9	Anemia, unspecified	0.00341	2e-16	-0.00783	UKB
N19	Uremia NOS	69749	valsartan	D64.9	Anemia, unspecified	0.00341	2e-16	-0.01443	UKB
N19	Uremia NOS	900937	aliskiren / valsartan	D64.9	Anemia, unspecified	0.00341	2e-16	-0.01443	UKB
N19	Uremia NOS	1656339	sacubitril / valsartan	D64.9	Anemia, unspecified	0.00341	2e-16	-0.01443	UKB
A69.2	Lyme disease	723	amoxicillin	I67.9	Cerebrovascular disease, unspecified	0.00341	2e-16	-0.0417	MIMIC-IV
I21	cardiac infarction	6809	metformin	I44.3	Atrioventricular block NOS	0.003409	2e-16	-0.504961	UKB
I21	cardiac infarction	341248	ezetimibe	I51.7	Cardiomegaly	0.003409	2e-16	-0.031539	UKB
I21	cardiac infarction	35296	ramipril	J81	Pulmonary edema	0.003406	2e-16	-0.283094	UKB
J44.9	Chronic obstructive lung disease NOS	284635	fluticasone / salmeterol	I21	cardiac infarction	0.003406	2e-16	-0.017174	UKB
J80	Adult hyaline membrane disease	9071	quinine	J96.0	Acute respiratory failure	0.003404	2e-16	-0.244862	UKB
I50.9	Congestive heart disease	5470	hydralazine	J81.1	Pulmonary edema NOS	0.003399	2e-16	-0.133237	MIMIC-IV
I21	cardiac infarction	42463	pravastatin	I46	Cardiac arrest	0.003396	2e-16	-0.105489	UKB
A15	Respiratory tuberculosis	762675	methylprednisolone 4 mg oral tablet	N12	Pyelitis NOS	0.003396	2e-16	-0.013151	MIMIC-IV
A15	Respiratory tuberculosis	6902	methylprednisolone	N12	Pyelitis NOS	0.003396	2e-16	-0.013151	MIMIC-IV
C61	Malignant neoplasm of prostate	25025	finasteride	H54	Blindness and low vision	0.003379	2e-16	-0.073903	UKB
I22	cardiac infarction	4316	felodipine	I46	Cardiac arrest	0.003372	2e-16	-0.103872	UKB
G20	Hemiparkinsonism	3498	diphenhydramine	K59.0	Constipation	0.00335	2e-16	-0.05661	MIMIC-IV
G20	Hemiparkinsonism	1158452	diphenhydramine topical product	K59.0	Constipation	0.00335	2e-16	-0.05661	MIMIC-IV
I21	cardiac infarction	69749	valsartan	J81	Pulmonary edema	0.003348	2e-16	-0.158201	UKB
I21	cardiac infarction	900937	aliskiren / valsartan	J81	Pulmonary edema	0.003348	2e-16	-0.158201	UKB
I21	cardiac infarction	1656339	sacubitril / valsartan	J81	Pulmonary edema	0.003348	2e-16	-0.158201	UKB
L30.9	Eczema NOS	236142	zinc aspartate	J45	Asthma	0.003347	2e-16	-0.009479	UKB
L30.9	Eczema NOS	11416	zinc	J45	Asthma	0.003347	2e-16	-0.009479	UKB
L30.9	Eczema NOS	236911	zinc citrate	J45	Asthma	0.003347	2e-16	-0.009479	UKB
L30.9	Eczema NOS	39937	zinc chloride	J45	Asthma	0.003347	2e-16	-0.009479	UKB
L30.9	Eczema NOS	58295	zinc acetate	J45	Asthma	0.003347	2e-16	-0.009479	UKB
L30.9	Eczema NOS	58301	zinc picolinate	J45	Asthma	0.003347	2e-16	-0.009479	UKB
L30.9	Eczema NOS	39954	zinc sulfate	J45	Asthma	0.003347	2e-16	-0.009479	UKB
L30.9	Eczema NOS	58300	zinc gluconate	J45	Asthma	0.003347	2e-16	-0.009479	UKB
L30.9	Eczema NOS	11423	zinc oxide	J45	Asthma	0.003347	2e-16	-0.009479	UKB
L30.9	Eczema NOS	39952	zinc pyrithione	J45	Asthma	0.003347	2e-16	-0.009479	UKB
G70.00	Myasthenia gravis NOS	3002	cyclophosphamide	J96.0	Acute respiratory failure	0.003341	0.004	-0.027361	MIMIC-IV
I21	cardiac infarction	83818	irbesartan	N17.9	Acute renal failure, unspecified	0.00334	2e-16	-0.01882	UKB
I21	cardiac infarction	69749	valsartan	I70	atheroma	0.003331	2e-16	-0.059482	UKB
I21	cardiac infarction	900937	aliskiren / valsartan	I70	atheroma	0.003331	2e-16	-0.059482	UKB
I21	cardiac infarction	1656339	sacubitril / valsartan	I70	atheroma	0.003331	2e-16	-0.059482	UKB
I21	cardiac infarction	54552	perindopril	F43.1	Traumatic neurosis	0.00333	2e-16	-0.29	UKB
N28.9	Nephropathy NOS	11248	vitamin b 12	G62.9	Neuropathy NOS	0.003322	2e-16	-0.075935	UKB
N08	Nephritis	4603	furosemide	R80	Proteinuria	0.00332	2e-16	-0.471	UKB
N19	Uremia NOS	52175	losartan	J81	Pulmonary edema	0.00332	2e-16	-0.211263	UKB
I22	cardiac infarction	42463	pravastatin	I50.1	Cardiac asthma	0.00331	2e-16	-0.05408	UKB
I21	cardiac infarction	5224	heparin	I67.9	Cerebrovascular disease, unspecified	0.00331	2e-16	0.0929	MIMIC-IV
I21	cardiac infarction	324042	Hydrochlorothiazide / Spironolactone	J96.0	Acute respiratory failure	0.003309	2e-16	-0.096049	UKB
I21	cardiac infarction	9997	spironolactone	J96.0	Acute respiratory failure	0.003309	2e-16	-0.096049	UKB
I63	Cerebral infarction	32968	clopidogrel	R41.3	Amnesia NOS	0.003308	2e-16	-0.113019	UKB
I10	high blood pressure	265647	garlic preparation	N19	Uremia NOS	0.003304	2e-16	-0.126308	UKB
I10	high blood pressure	1309210	oil of garlic	N19	Uremia NOS	0.003304	2e-16	-0.126308	UKB
E11	diabetes NOS	52175	losartan	H44	Disorders of globe	0.003286	2e-16	-0.149859	UKB
N28.9	Nephropathy NOS	52175	losartan	E87.7	Fluid overload	0.003282	2e-16	-0.085276	UKB
E53.8	Folate deficiency	4511	folic acid	D69.6	Thrombocytopenia, unspecified	0.00328	2e-16	-0.063311	UKB
I21	cardiac infarction	301542	rosuvastatin	I46	Cardiac arrest	0.00328	2e-16	-0.100639	UKB
N18.6	End stage renal disease	6579	magnesium chloride	E21.3	Hyperparathyroidism, unspecified	0.00328	2e-16	-10.2	MIMIC-IV
N18.6	End stage renal disease	1426853	magnesium cation	E21.3	Hyperparathyroidism, unspecified	0.00328	2e-16	-10.2	MIMIC-IV
N18.6	End stage renal disease	236741	magnesium sulfate heptahydrate	E21.3	Hyperparathyroidism, unspecified	0.00328	2e-16	-10.2	MIMIC-IV
N18.6	End stage renal disease	215976	magnesium, chelated	E21.3	Hyperparathyroidism, unspecified	0.00328	2e-16	-10.2	MIMIC-IV
N18.6	End stage renal disease	29170	magnesium trisilicate	E21.3	Hyperparathyroidism, unspecified	0.00328	2e-16	-10.2	MIMIC-IV
N18.6	End stage renal disease	142131	magnesium aspartate	E21.3	Hyperparathyroidism, unspecified	0.00328	2e-16	-10.2	MIMIC-IV
N18.6	End stage renal disease	283578	magnesium malate	E21.3	Hyperparathyroidism, unspecified	0.00328	2e-16	-10.2	MIMIC-IV
N18.6	End stage renal disease	29155	magnesium carbonate	E21.3	Hyperparathyroidism, unspecified	0.00328	2e-16	-10.2	MIMIC-IV
N18.6	End stage renal disease	214688	magnesium lactate	E21.3	Hyperparathyroidism, unspecified	0.00328	2e-16	-10.2	MIMIC-IV
