Indication (ICD-10)	Indication name	Drug (RxNorm)	Drug name	Outcome (ICD-10)	Outcome name	Average ACME	P-value	Proportion mediated	Cohort
J42	Chronic tracheitis	20489	cefpodoxime	I27.20	Pulmonary hypertension NOS	0.000378	0.008	-0.00592	MIMIC-IV
E11	diabetes NOS	52175	losartan	H21.1	Rubeosis iridis	0.000377	0.018	-0.226	UKB
I10	high blood pressure	134615	brimonidine	I71	Aortic aneurysm and dissection	0.000377	2e-16	-0.0108	UKB
N19	Uremia NOS	214619	Hydrochlorothiazide / Losartan	G25.5	Chorea NOS	0.000377	2e-16	-0.126	MIMIC-IV
N19	Uremia NOS	52175	losartan	G25.5	Chorea NOS	0.000377	2e-16	-0.126	MIMIC-IV
M32.9	Systemic lupus erythematosus NOS	3264	dexamethasone	E44	Protein-energy malnutrition of moderate and mild degree	0.000377	2e-16	-0.0181	MIMIC-IV
M32.9	Systemic lupus erythematosus NOS	216525	Dexamethasone / Neomycin / Polymyxin B	E44	Protein-energy malnutrition of moderate and mild degree	0.000377	2e-16	-0.0181	MIMIC-IV
N20.0	Renal stone	519	allopurinol	N16	Pyelonephritis	0.000376	0.002	-0.288	UKB
M32	Systemic lupus erythematosus	6902	methylprednisolone	N18.6	End stage renal disease	0.000376	2e-16	-0.0125	MIMIC-IV
M32	Systemic lupus erythematosus	762675	methylprednisolone 4 mg oral tablet	N18.6	End stage renal disease	0.000376	2e-16	-0.0125	MIMIC-IV
M06.9	Rheumatoid arthritis, unspecified	3355	diclofenac	M24.7	Protrusio acetabuli	0.000375	2e-16	-0.21	UKB
N08	Nephritis	214619	Hydrochlorothiazide / Losartan	H35.03	Hypertensive retinopathy	0.000374	2e-16	-0.178	MIMIC-IV
N08	Nephritis	52175	losartan	H35.03	Hypertensive retinopathy	0.000374	2e-16	-0.178	MIMIC-IV
I21	cardiac infarction	32968	clopidogrel	I51.4	Myocarditis NOS	0.000373	2e-16	-0.103	UKB
D50	asiderotic anemia	105669	polysaccharide iron complex	D69.6	Thrombocytopenia, unspecified	0.000373	0.002	-0.004815	UKB
D50	asiderotic anemia	978673	heme iron polypeptide	D69.6	Thrombocytopenia, unspecified	0.000373	0.002	-0.004815	UKB
J11.1	Influenza NOS	3289	dextromethorphan	J45	Asthma	0.000373	2e-16	-0.00105	MIMIC-IV
I63	Cerebral infarction	5224	heparin	M21.37	Foot drop (acquired)	0.000372	2e-16	-0.08501	MIMIC-IV
J44.9	Chronic obstructive lung disease NOS	3498	diphenhydramine	R41.3	Amnesia NOS	0.00037	2e-16	-0.133125	MIMIC-IV
J44.9	Chronic obstructive lung disease NOS	1158452	diphenhydramine topical product	R41.3	Amnesia NOS	0.00037	2e-16	-0.133125	MIMIC-IV
F41.0	Panic state	2598	clonazepam	I10	high blood pressure	0.000369	2e-16	-0.000663	UKB
I51.9	Heart disease, unspecified	38454	trandolapril	I67.9	Cerebrovascular disease, unspecified	0.000369	2e-16	-0.00696	UKB
E85	Amyloidosis	2683	colchicine	I42.0	Dilated cardiomyopathy	0.000369	2e-16	-0.044	MIMIC-IV
K50	granulomatous enteritis	19831	budesonide	K31.1	Pyloric stenosis NOS	0.000367	2e-16	-0.0502	UKB
K50	granulomatous enteritis	389132	Budesonide / formoterol	K31.1	Pyloric stenosis NOS	0.000367	2e-16	-0.0502	UKB
D64.9	Anemia, unspecified	684879	pyridoxine	I73.9	Spasm of artery	0.000367	2e-16	-0.00324	UKB
E66.9	Obesity NOS	42347	bupropion	M81.0	Osteoporosis NOS	0.000366	0.01	-0.00434	MIMIC-IV
I70	atheroma	41127	fluvastatin	I50.9	Congestive heart disease	0.000365	2e-16	-0.004218	UKB
K21.9	Esophageal reflux NOS	42319	nizatidine	J32	sinus empyema	0.000365	2e-16	-0.00415	UKB
D50	asiderotic anemia	90176	iron	K90.0	Celiac disease	0.000365	2e-16	-0.00789	UKB
J44.9	Chronic obstructive lung disease NOS	3498	diphenhydramine	J43.8	Other emphysema	0.000365	2e-16	-0.0325	MIMIC-IV
J44.9	Chronic obstructive lung disease NOS	1158452	diphenhydramine topical product	J43.8	Other emphysema	0.000365	2e-16	-0.0325	MIMIC-IV
E78.5	Hyperlipidemia, unspecified	21406	coenzyme q10	E80	defects of catalase and peroxidase	0.000364	2e-16	-0.0158	UKB
I10	high blood pressure	214354	candesartan	N18.9	Chronic uremia NOS	0.000364	2e-16	-0.006662	UKB
J45	Asthma	5553	hydroxyzine	D72.1	Eosinophilia	0.000363	2e-16	-0.036108	MIMIC-IV
N18.9	Chronic uremia NOS	69749	valsartan	M89.9	Unspecified disorder of bone	0.000363	2e-16	-0.0924	MIMIC-IV
J44.9	Chronic obstructive lung disease NOS	3498	diphenhydramine	D59	Acquired hemolytic anemia	0.000362	2e-16	-0.064708	MIMIC-IV
J44.9	Chronic obstructive lung disease NOS	1158452	diphenhydramine topical product	D59	Acquired hemolytic anemia	0.000362	2e-16	-0.064708	MIMIC-IV
I22	cardiac infarction	1157100	timolol ophthalmic product	I42.0	Dilated cardiomyopathy	0.000362	2e-16	-0.0196	MIMIC-IV
I22	cardiac infarction	662263	dorzolamide / Timolol	I42.0	Dilated cardiomyopathy	0.000362	2e-16	-0.0196	MIMIC-IV
I22	cardiac infarction	597142	brimonidine / Timolol	I42.0	Dilated cardiomyopathy	0.000362	2e-16	-0.0196	MIMIC-IV
I22	cardiac infarction	10600	timolol	I42.0	Dilated cardiomyopathy	0.000362	2e-16	-0.0196	MIMIC-IV
I21	cardiac infarction	214621	Hydrochlorothiazide / Metoprolol	I72	Other aneurysm	0.000361	2e-16	-0.010682	UKB
I21	cardiac infarction	6918	metoprolol	I72	Other aneurysm	0.000361	2e-16	-0.010682	UKB
M06.9	Rheumatoid arthritis, unspecified	690161	prednisolone / Sulfacetamide	M24.6	Ankylosis of joint	0.000361	2e-16	-0.109	UKB
M06.9	Rheumatoid arthritis, unspecified	8638	prednisolone	M24.6	Ankylosis of joint	0.000361	2e-16	-0.109	UKB
M06.9	Rheumatoid arthritis, unspecified	693010	Neomycin / Polymyxin B / prednisolone	M24.6	Ankylosis of joint	0.000361	2e-16	-0.109	UKB
I21	cardiac infarction	19484	bisoprolol	Q21.0	Roger's disease	0.000361	0.012	-0.116	UKB
N18.9	Chronic uremia NOS	261415	Fosinopril / Hydrochlorothiazide	G62.9	Neuropathy NOS	0.000361	0.002	-0.004657	UKB
N18.9	Chronic uremia NOS	50166	fosinopril	G62.9	Neuropathy NOS	0.000361	0.002	-0.004657	UKB
K74.60	Cirrhosis (of liver) NOS	5487	hydrochlorothiazide	K92.0	Hematemesis	0.000361	2e-16	-0.068527	MIMIC-IV
K74.60	Cirrhosis (of liver) NOS	214624	Hydrochlorothiazide / Reserpine	K92.0	Hematemesis	0.000361	2e-16	-0.068527	MIMIC-IV
K74.60	Cirrhosis (of liver) NOS	214622	Hydrochlorothiazide / moexipril	K92.0	Hematemesis	0.000361	2e-16	-0.068527	MIMIC-IV
K74.60	Cirrhosis (of liver) NOS	214615	Hydralazine / Hydrochlorothiazide	K92.0	Hematemesis	0.000361	2e-16	-0.068527	MIMIC-IV
N28.9	Nephropathy NOS	31555	nebivolol	N19	Uremia NOS	0.00036	2e-16	-0.0115	UKB
M32.9	Systemic lupus erythematosus NOS	3264	dexamethasone	D59	Acquired hemolytic anemia	0.000359	2e-16	0.0463	MIMIC-IV
M32.9	Systemic lupus erythematosus NOS	216525	Dexamethasone / Neomycin / Polymyxin B	D59	Acquired hemolytic anemia	0.000359	2e-16	0.0463	MIMIC-IV
E11	diabetes NOS	1368402	alogliptin / pioglitazone	D64.9	Anemia, unspecified	0.000358	0.012	-0.000906	UKB
E11	diabetes NOS	33738	pioglitazone	D64.9	Anemia, unspecified	0.000358	0.012	-0.000906	UKB
J44.9	Chronic obstructive lung disease NOS	3498	diphenhydramine	I73.0	Raynaud's disease	0.000358	2e-16	-0.0491	MIMIC-IV
J44.9	Chronic obstructive lung disease NOS	1158452	diphenhydramine topical product	I73.0	Raynaud's disease	0.000358	2e-16	-0.0491	MIMIC-IV
M06.9	Rheumatoid arthritis, unspecified	7258	naproxen	M24.7	Protrusio acetabuli	0.000356	2e-16	-0.144	UKB
I25.10	Atherosclerotic heart disease NOS	4719	gemfibrozil	I42	Cardiomyopathy	0.000356	2e-16	-0.00383	MIMIC-IV
N18.9	Chronic uremia NOS	6581	magnesium hydroxide	I67.4	Hypertensive encephalopathy	0.000356	2e-16	-1.12	MIMIC-IV
N18.9	Chronic uremia NOS	52358	magnesium gluconate	I67.4	Hypertensive encephalopathy	0.000356	2e-16	-1.12	MIMIC-IV
N18.9	Chronic uremia NOS	1426853	magnesium cation	I67.4	Hypertensive encephalopathy	0.000356	2e-16	-1.12	MIMIC-IV
N18.9	Chronic uremia NOS	6582	magnesium oxide	I67.4	Hypertensive encephalopathy	0.000356	2e-16	-1.12	MIMIC-IV
N18.9	Chronic uremia NOS	52356	magnesium citrate	I67.4	Hypertensive encephalopathy	0.000356	2e-16	-1.12	MIMIC-IV
N18.9	Chronic uremia NOS	283578	magnesium malate	I67.4	Hypertensive encephalopathy	0.000356	2e-16	-1.12	MIMIC-IV
N18.9	Chronic uremia NOS	6585	magnesium sulfate	I67.4	Hypertensive encephalopathy	0.000356	2e-16	-1.12	MIMIC-IV
N18.9	Chronic uremia NOS	214688	magnesium lactate	I67.4	Hypertensive encephalopathy	0.000356	2e-16	-1.12	MIMIC-IV
N18.9	Chronic uremia NOS	142131	magnesium aspartate	I67.4	Hypertensive encephalopathy	0.000356	2e-16	-1.12	MIMIC-IV
N18.9	Chronic uremia NOS	215976	magnesium, chelated	I67.4	Hypertensive encephalopathy	0.000356	2e-16	-1.12	MIMIC-IV
N18.9	Chronic uremia NOS	314718	magnesium acetate	I67.4	Hypertensive encephalopathy	0.000356	2e-16	-1.12	MIMIC-IV
N18.9	Chronic uremia NOS	6574	magnesium	I67.4	Hypertensive encephalopathy	0.000356	2e-16	-1.12	MIMIC-IV
N18.9	Chronic uremia NOS	29170	magnesium trisilicate	I67.4	Hypertensive encephalopathy	0.000356	2e-16	-1.12	MIMIC-IV
N18.9	Chronic uremia NOS	29155	magnesium carbonate	I67.4	Hypertensive encephalopathy	0.000356	2e-16	-1.12	MIMIC-IV
N18.9	Chronic uremia NOS	236741	magnesium sulfate heptahydrate	I67.4	Hypertensive encephalopathy	0.000356	2e-16	-1.12	MIMIC-IV
N18.9	Chronic uremia NOS	6579	magnesium chloride	I67.4	Hypertensive encephalopathy	0.000356	2e-16	-1.12	MIMIC-IV
N18.9	Chronic uremia NOS	139233	magnesium orotate	I67.4	Hypertensive encephalopathy	0.000356	2e-16	-1.12	MIMIC-IV
J42	Chronic tracheitis	4955	glycopyrrolate	I27.20	Pulmonary hypertension NOS	0.000354	2e-16	-0.005327	MIMIC-IV
I21	cardiac infarction	83367	atorvastatin	I49.01	Ventricular fibrillation	0.000354	0.002	-0.218	MIMIC-IV
M06.9	Rheumatoid arthritis, unspecified	1998	captopril	J47	Bronchiectasis	0.000353	2e-16	-0.0046	UKB
I10	high blood pressure	21406	coenzyme q10	I42.0	Dilated cardiomyopathy	0.000353	0.024	-0.026	UKB
G40.909	Epilepsy NOS	2598	clonazepam	R41.3	Amnesia NOS	0.000353	2e-16	-0.087379	MIMIC-IV
E83.52	Hypercalcemia	690161	prednisolone / Sulfacetamide	E87.3	Alkalosis	0.000352	0.008	-0.0119	MIMIC-IV
E83.52	Hypercalcemia	8638	prednisolone	E87.3	Alkalosis	0.000352	0.008	-0.0119	MIMIC-IV
E83.52	Hypercalcemia	693010	Neomycin / Polymyxin B / prednisolone	E87.3	Alkalosis	0.000352	0.008	-0.0119	MIMIC-IV
I50.9	Congestive heart disease	9997	spironolactone	I27.20	Pulmonary hypertension NOS	0.000352	2e-16	-0.00595	MIMIC-IV
I21	cardiac infarction	1157100	timolol ophthalmic product	F43.1	Traumatic neurosis	0.000352	2e-16	-0.00574	MIMIC-IV
I21	cardiac infarction	662263	dorzolamide / Timolol	F43.1	Traumatic neurosis	0.000352	2e-16	-0.00574	MIMIC-IV
I21	cardiac infarction	597142	brimonidine / Timolol	F43.1	Traumatic neurosis	0.000352	2e-16	-0.00574	MIMIC-IV
I21	cardiac infarction	10600	timolol	F43.1	Traumatic neurosis	0.000352	2e-16	-0.00574	MIMIC-IV
N28.9	Nephropathy NOS	1998	captopril	D64.9	Anemia, unspecified	0.000351	2e-16	-0.00145	UKB
J45	Asthma	216524	Dexamethasone / Neomycin	G47	Sleep disorders	0.000351	2e-16	-0.002527	UKB
J45	Asthma	3264	dexamethasone	G47	Sleep disorders	0.000351	2e-16	-0.002527	UKB
J45	Asthma	216525	Dexamethasone / Neomycin / Polymyxin B	G47	Sleep disorders	0.000351	2e-16	-0.002527	UKB
I21	cardiac infarction	214621	Hydrochlorothiazide / Metoprolol	I70	atheroma	0.000351	2e-16	-0.005681	UKB
I21	cardiac infarction	6918	metoprolol	I70	atheroma	0.000351	2e-16	-0.005681	UKB
I22	cardiac infarction	37798	terazosin	I50.1	Cardiac asthma	0.000351	2e-16	-0.005406	UKB
K21.9	Esophageal reflux NOS	40790	pantoprazole	I45.5	Sinoatrial block	0.00035	0.008	-0.027	UKB
D50	asiderotic anemia	90176	iron	K13.0	Cheilosis	0.00035	2e-16	-0.0115	UKB
I10	high blood pressure	1309210	oil of garlic	T78.3	Quincke's edema	0.000349	0.022	-0.112	UKB
I10	high blood pressure	265647	garlic preparation	T78.3	Quincke's edema	0.000349	0.022	-0.112	UKB
I26	Pulmonary embolism	5224	heparin	I46	Cardiac arrest	0.000349	0.002	-0.11	MIMIC-IV
I10	high blood pressure	9997	spironolactone	H54	Blindness and low vision	0.000348	0.012	-0.00894	UKB
I10	high blood pressure	324042	Hydrochlorothiazide / Spironolactone	H54	Blindness and low vision	0.000348	0.012	-0.00894	UKB
G40.909	Epilepsy NOS	6960	midazolam	F39	Affective psychosis NOS	0.000348	2e-16	-0.025872	MIMIC-IV
I10	high blood pressure	8787	propranolol	T78.3	Quincke's edema	0.000347	2e-16	-0.101054	UKB
I10	high blood pressure	214623	Hydrochlorothiazide / Propranolol	T78.3	Quincke's edema	0.000347	2e-16	-0.101054	UKB
I21	cardiac infarction	49737	esmolol	J81	Pulmonary edema	0.000347	0.022	-0.00283	MIMIC-IV
I10	high blood pressure	136411	sildenafil	J98.11	Atelectasis	0.000347	0.01	-0.00347	MIMIC-IV
K74.60	Cirrhosis (of liver) NOS	85762	ritonavir	K76.6	Portal hypertension	0.000346	0.008	0.00577	MIMIC-IV
I10	high blood pressure	54552	perindopril	G62.9	Neuropathy NOS	0.000345	2e-16	-0.00701	UKB
I21	cardiac infarction	1114195	rivaroxaban	I51.9	Heart disease, unspecified	0.000345	0.002	-0.130255	MIMIC-IV
K26	Duodenal ulcer	723	amoxicillin	K92.0	Hematemesis	0.000344	2e-16	-0.00692	UKB
N19	Uremia NOS	1808	bumetanide	I45.81	Long QT syndrome	0.000344	0.012	-0.00703	MIMIC-IV
N04	lipoid nephrosis	3002	cyclophosphamide	R80	Proteinuria	0.000344	0.02	-0.0533	MIMIC-IV
I10	high blood pressure	29046	lisinopril	D61.9	Medullary hypoplasia	0.000343	2e-16	-0.0126	UKB
I10	high blood pressure	214618	Hydrochlorothiazide / Lisinopril	D61.9	Medullary hypoplasia	0.000343	2e-16	-0.0126	UKB
I21	cardiac infarction	261415	Fosinopril / Hydrochlorothiazide	N17.9	Acute renal failure, unspecified	0.000343	2e-16	-0.001824	UKB
I21	cardiac infarction	50166	fosinopril	N17.9	Acute renal failure, unspecified	0.000343	2e-16	-0.001824	UKB
I21	cardiac infarction	49276	doxazosin	I27.20	Pulmonary hypertension NOS	0.000342	0.004	-0.00315	MIMIC-IV
E24	Cushing's syndrome	3264	dexamethasone	E08	Diabetes mellitus due to underlying condition	0.000341	2e-16	0.00621	MIMIC-IV
E24	Cushing's syndrome	216525	Dexamethasone / Neomycin / Polymyxin B	E08	Diabetes mellitus due to underlying condition	0.000341	2e-16	0.00621	MIMIC-IV
N17.9	Acute renal failure, unspecified	6628	mannitol	E87.2	Acidosis	0.000341	2e-16	-0.00394	MIMIC-IV
I10	high blood pressure	35296	ramipril	J81	Pulmonary edema	0.00034	2e-16	-0.0173	UKB
J44.9	Chronic obstructive lung disease NOS	161	acetaminophen	I49.01	Ventricular fibrillation	0.00034	2e-16	-0.174934	MIMIC-IV
J44.9	Chronic obstructive lung disease NOS	5032	guaifenesin	G93.9	Disorder of brain, unspecified	0.00034	2e-16	-0.0836	MIMIC-IV
M06.9	Rheumatoid arthritis, unspecified	1158231	triamcinolone topical product	E85	Amyloidosis	0.00034	2e-16	-0.0391	MIMIC-IV
M06.9	Rheumatoid arthritis, unspecified	10759	triamcinolone	E85	Amyloidosis	0.00034	2e-16	-0.0391	MIMIC-IV
B20	AIDS-related complex [ARC]	56946	paclitaxel	L89	bed sore	0.00034	2e-16	-0.0138	MIMIC-IV
I10	high blood pressure	11170	verapamil	G62.9	Neuropathy NOS	0.000339	0.02	-0.0068	UKB
A36	Diphtheria	113588	Erythromycin / Sulfisoxazole	G93.9	Disorder of brain, unspecified	0.000339	0.004	-0.0311	MIMIC-IV
A36	Diphtheria	4053	erythromycin	G93.9	Disorder of brain, unspecified	0.000339	0.004	-0.0311	MIMIC-IV
J45	Asthma	5553	hydroxyzine	G47	Sleep disorders	0.000338	2e-16	-0.00245	UKB
K21.9	Esophageal reflux NOS	6058	isosorbide dinitrate	K22.7	Barrett's disease	0.000338	0.002	-0.00375	UKB
I21	cardiac infarction	32968	clopidogrel	I25.3	Mural aneurysm	0.000337	2e-16	-0.111	UKB
I26	Pulmonary embolism	1114195	rivaroxaban	J96.0	Acute respiratory failure	0.000337	0.024	-0.00191	MIMIC-IV
I21	cardiac infarction	5470	hydralazine	I44.3	Atrioventricular block NOS	0.000336	2e-16	0.103861	MIMIC-IV
J45	Asthma	6902	methylprednisolone	D72.1	Eosinophilia	0.000336	2e-16	-0.034015	MIMIC-IV
J45	Asthma	762675	methylprednisolone 4 mg oral tablet	D72.1	Eosinophilia	0.000336	2e-16	-0.034015	MIMIC-IV
I10	high blood pressure	8629	prazosin	I42	Cardiomyopathy	0.000335	0.006	-0.00219	MIMIC-IV
M45	Ankylosing spondylitis	1158231	triamcinolone topical product	M54.5	Low back pain	0.000335	2e-16	0.019395	MIMIC-IV
M45	Ankylosing spondylitis	10759	triamcinolone	M54.5	Low back pain	0.000335	2e-16	0.019395	MIMIC-IV
M33	Dermatopolymyositis	8640	prednisone	C80.1	Cancer NOS	0.000334	2e-16	-0.0414	MIMIC-IV
I21	cardiac infarction	1114195	rivaroxaban	I72	Other aneurysm	0.000333	2e-16	-0.0211	MIMIC-IV
I21	cardiac infarction	1114195	rivaroxaban	I46	Cardiac arrest	0.000333	2e-16	-0.0286	MIMIC-IV
I21	cardiac infarction	36567	simvastatin	Q23.3	Congenital mitral insufficiency	0.000332	0.002	-1.02	UKB
I21	cardiac infarction	803516	Niacin / Simvastatin	Q23.3	Congenital mitral insufficiency	0.000332	0.002	-1.02	UKB
N18	Chronic renal failure	407990	cinacalcet	E21.3	Hyperparathyroidism, unspecified	0.000332	2e-16	0.0655	MIMIC-IV
I21	cardiac infarction	214621	Hydrochlorothiazide / Metoprolol	I46	Cardiac arrest	0.000331	2e-16	-0.008733	UKB
I21	cardiac infarction	6918	metoprolol	I46	Cardiac arrest	0.000331	2e-16	-0.008733	UKB
E24	Cushing's syndrome	3264	dexamethasone	E10	Type 1 diabetes mellitus	0.000331	0.004	0.00876	MIMIC-IV
E24	Cushing's syndrome	216525	Dexamethasone / Neomycin / Polymyxin B	E10	Type 1 diabetes mellitus	0.000331	0.004	0.00876	MIMIC-IV
I21	cardiac infarction	17767	amlodipine	I49.01	Ventricular fibrillation	0.000329	2e-16	-0.195166	MIMIC-IV
I21	cardiac infarction	644	amiloride	N17.9	Acute renal failure, unspecified	0.000328	2e-16	-0.00169	UKB
C50	Paget's disease of breast	4083	estradiol	K37	Unspecified appendicitis	0.000328	0.008	-0.0274	UKB
C50	Paget's disease of breast	687333	Estradiol / Levonorgestrel	K37	Unspecified appendicitis	0.000328	0.008	-0.0274	UKB
C50	Paget's disease of breast	608838	drospirenone / estradiol	K37	Unspecified appendicitis	0.000328	0.008	-0.0274	UKB
C50	Paget's disease of breast	4124	ethinyl estradiol	K37	Unspecified appendicitis	0.000328	0.008	-0.0274	UKB
C50	Paget's disease of breast	261414	Estradiol / norgestimate	K37	Unspecified appendicitis	0.000328	0.008	-0.0274	UKB
K52.9	Colitis NOS	113588	Erythromycin / Sulfisoxazole	E16.2	Hypoglycemia, unspecified	0.000328	2e-16	-0.0253	MIMIC-IV
K52.9	Colitis NOS	4053	erythromycin	E16.2	Hypoglycemia, unspecified	0.000328	2e-16	-0.0253	MIMIC-IV
G35	Multiple sclerosis	11248	vitamin b 12	G82.5	Quadriplegia	0.000327	0.006	-0.152	UKB
K51	Ulcerative colitis	8640	prednisone	K52.9	Colitis NOS	0.000326	0.006	-0.00231	UKB
I21	cardiac infarction	20352	carvedilol	I47.2	Ventricular tachycardia	0.000326	0.004	-0.0102	UKB
I50.9	Congestive heart disease	261415	Fosinopril / Hydrochlorothiazide	E87.7	Fluid overload	0.000326	2e-16	-0.00647	UKB
I50.9	Congestive heart disease	50166	fosinopril	E87.7	Fluid overload	0.000326	2e-16	-0.00647	UKB
I21	cardiac infarction	6185	labetalol	I44.3	Atrioventricular block NOS	0.000326	2e-16	0.107876	MIMIC-IV
M32.9	Systemic lupus erythematosus NOS	1158231	triamcinolone topical product	D68.61	Anticardiolipin syndrome	0.000326	2e-16	0.0182	MIMIC-IV
M32.9	Systemic lupus erythematosus NOS	10759	triamcinolone	D68.61	Anticardiolipin syndrome	0.000326	2e-16	0.0182	MIMIC-IV
I21	cardiac infarction	1114195	rivaroxaban	I51.7	Cardiomegaly	0.000326	2e-16	-0.041642	MIMIC-IV
E11	diabetes NOS	6809	metformin	N08	Nephritis	0.000325	2e-16	-0.191608	UKB
J45	Asthma	7213	ipratropium	I46	Cardiac arrest	0.000323	2e-16	-0.00546	UKB
I10	high blood pressure	9997	spironolactone	I70	atheroma	0.000323	0.004	-0.0119	UKB
I10	high blood pressure	324042	Hydrochlorothiazide / Spironolactone	I70	atheroma	0.000323	0.004	-0.0119	UKB
B49	Fungemia NOS	282446	posaconazole	D72.1	Eosinophilia	0.000323	2e-16	-0.0213	MIMIC-IV
N08	Nephritis	1998	captopril	N18.9	Chronic uremia NOS	0.000321	2e-16	-0.003866	UKB
J45	Asthma	3992	epinephrine	I51.81	Takotsubo syndrome	0.000321	2e-16	-0.0464	MIMIC-IV
E78.5	Hyperlipidemia, unspecified	41127	fluvastatin	E86	Volume depletion	0.00032	2e-16	-0.00228	UKB
A36	Diphtheria	113588	Erythromycin / Sulfisoxazole	L51	Erythema multiforme	0.00032	0.002	0.00267	MIMIC-IV
A36	Diphtheria	4053	erythromycin	L51	Erythema multiforme	0.00032	0.002	0.00267	MIMIC-IV
K74.60	Cirrhosis (of liver) NOS	4603	furosemide	E21.3	Hyperparathyroidism, unspecified	0.00032	2e-16	-0.0213	MIMIC-IV
I47.1	Supraventricular tachycardia	9947	sotalol	I42.0	Dilated cardiomyopathy	0.000319	2e-16	-0.0148	UKB
M06.9	Rheumatoid arthritis, unspecified	1256	azathioprine	M24.7	Protrusio acetabuli	0.000318	2e-16	-0.119	UKB
M06.9	Rheumatoid arthritis, unspecified	690161	prednisolone / Sulfacetamide	J67.9	Hypersensitivity pneumonitis NOS	0.000318	2e-16	-0.0952	UKB
M06.9	Rheumatoid arthritis, unspecified	8638	prednisolone	J67.9	Hypersensitivity pneumonitis NOS	0.000318	2e-16	-0.0952	UKB
M06.9	Rheumatoid arthritis, unspecified	693010	Neomycin / Polymyxin B / prednisolone	J67.9	Hypersensitivity pneumonitis NOS	0.000318	2e-16	-0.0952	UKB
I21	cardiac infarction	5470	hydralazine	I51.7	Cardiomegaly	0.000318	0.01	-0.0528	MIMIC-IV
M06.9	Rheumatoid arthritis, unspecified	7258	naproxen	M14.6	Charcot's joint	0.000317	0.012	-0.0962	UKB
N19	Uremia NOS	69749	valsartan	I45.81	Long QT syndrome	0.000317	2e-16	-0.00657	MIMIC-IV
I70	atheroma	301542	rosuvastatin	K55.9	Ischemic colitis	0.000317	2e-16	-0.0162	MIMIC-IV
I10	high blood pressure	136411	sildenafil	I50.30	Unspecified diastolic (congestive) heart failure	0.000313	0.002	0.0315	MIMIC-IV
I50.9	Congestive heart disease	38454	trandolapril	J81	Pulmonary edema	0.000312	0.004	-0.0109	UKB
E66.9	Obesity NOS	42347	bupropion	R73.9	Hyperglycemia, unspecified	0.000312	2e-16	-0.0173	MIMIC-IV
K21.9	Esophageal reflux NOS	6058	isosorbide dinitrate	K20	Esophagitis	0.000311	2e-16	-0.0017	UKB
I21	cardiac infarction	37798	terazosin	J81.0	Acute edema of lung	0.000311	2e-16	-0.00621	MIMIC-IV
E20	Hypoparathyroidism	4018	ergocalciferol	H26	Other cataract	0.00031	0.002	-0.012375	MIMIC-IV
J45	Asthma	5553	hydroxyzine	J42	Chronic tracheitis	0.000309	2e-16	-0.0273	UKB
M45	Ankylosing spondylitis	6902	methylprednisolone	E85	Amyloidosis	0.000309	2e-16	-0.0198	MIMIC-IV
M45	Ankylosing spondylitis	762675	methylprednisolone 4 mg oral tablet	E85	Amyloidosis	0.000309	2e-16	-0.0198	MIMIC-IV
I21	cardiac infarction	8787	propranolol	J81.0	Acute edema of lung	0.000309	0.002	-0.00613	MIMIC-IV
K74.60	Cirrhosis (of liver) NOS	85762	ritonavir	N17.9	Acute renal failure, unspecified	0.000309	2e-16	-0.001575	MIMIC-IV
N28.9	Nephropathy NOS	644	amiloride	G62.9	Neuropathy NOS	0.000308	2e-16	-0.00658	UKB
D86	Sarcoidosis	690161	prednisolone / Sulfacetamide	I44.3	Atrioventricular block NOS	0.000308	2e-16	-0.0255	MIMIC-IV
D86	Sarcoidosis	8638	prednisolone	I44.3	Atrioventricular block NOS	0.000308	2e-16	-0.0255	MIMIC-IV
D86	Sarcoidosis	693010	Neomycin / Polymyxin B / prednisolone	I44.3	Atrioventricular block NOS	0.000308	2e-16	-0.0255	MIMIC-IV
E87.6	Hypokalemia	10763	triamterene	I42	Cardiomyopathy	0.000308	0.002	-0.00343	MIMIC-IV
E87.6	Hypokalemia	258337	Hydrochlorothiazide / Triamterene	I42	Cardiomyopathy	0.000308	0.002	-0.00343	MIMIC-IV
D86	Sarcoidosis	8640	prednisone	N19	Uremia NOS	0.000307	0.002	-0.01	UKB
I10	high blood pressure	1009219	aliskiren / Amlodipine	I42.0	Dilated cardiomyopathy	0.000307	2e-16	-0.023	UKB
I10	high blood pressure	17767	amlodipine	I42.0	Dilated cardiomyopathy	0.000307	2e-16	-0.023	UKB
K50	granulomatous enteritis	36118	calcitonin (salmon synthetic)	K56.609	Intestinal obstruction NOS	0.000307	2e-16	0.023353	MIMIC-IV
K50	granulomatous enteritis	2418	cholecalciferol	K56.609	Intestinal obstruction NOS	0.000307	2e-16	0.023353	MIMIC-IV
K50	granulomatous enteritis	22701	(+)-panthenol	K56.609	Intestinal obstruction NOS	0.000307	2e-16	0.023353	MIMIC-IV
N08	Nephritis	10763	triamterene	N18.9	Chronic uremia NOS	0.000307	0.014	-0.00267	MIMIC-IV
N08	Nephritis	258337	Hydrochlorothiazide / Triamterene	N18.9	Chronic uremia NOS	0.000307	0.014	-0.00267	MIMIC-IV
I21	cardiac infarction	6185	labetalol	I49.01	Ventricular fibrillation	0.000306	2e-16	-0.110516	MIMIC-IV
I21	cardiac infarction	7396	nicardipine	I67.9	Cerebrovascular disease, unspecified	0.000306	0.002	0.00737	MIMIC-IV
